Station name,Victoria Bridge - Old
Station number,"730507"
External number,---
River,River Kent
Operator,---
NGR,SD5179193065
Easting,"351791"
Northing,"493065"
Parameter-name,FQ [Flow]
Parameter Type,Flow
Time series name,tsm(CLA/730507/FQ/15m.Cmd.Runoff.C);Round(3)
Time series unit,m³/s
Time level,High-resolution
Time series type,Other
Equidistant time series,yes
Time series value distance,15 minute
Time series quality,Production
Time series measuring method,---
Period of record in file: 01/12/2015 00:00:00 to 01/01/2016 00:00:00
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace
Time stamp,Value [m³/s],State of value,Interpolation,Runoff value [l/s/km²],State of runoff value,Interpolation of runoff value,Tags,Comments
01/12/2015 20:45:00,20.811,G,102,113.723991,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 21:00:00,20.811,G,102,113.723991,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 21:15:00,20.28,G,102,110.821309,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 21:30:00,20.148,G,102,110.100242,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 21:45:00,19.951,G,102,109.022107,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 22:00:00,19.82,G,102,108.305663,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 22:15:00,19.494,G,102,106.522668,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 22:30:00,19.169,G,102,104.751299,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 22:45:00,18.976,G,102,103.694075,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 23:00:00,19.04,G,102,104.046015,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 23:15:00,18.847,G,102,102.991597,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 23:30:00,18.847,G,102,102.991597,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 23:45:00,18.528,G,102,101.243607,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 00:00:00,18.4,G,102,100.547699,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 00:15:00,17.957,G,102,98.126874,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 00:30:00,17.894,G,102,97.782932,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 00:45:00,18.147,G,102,99.161537,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 01:00:00,17.831,G,102,97.439464,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 01:15:00,17.581,G,102,96.070336,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 01:30:00,17.394,G,102,95.048482,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 01:45:00,17.332,G,102,94.708817,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 02:00:00,16.961,G,102,92.680854,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 02:15:00,17.022,G,102,93.017652,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 02:30:00,16.899,G,102,92.344535,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 02:45:00,16.899,G,102,92.344535,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 03:00:00,16.41,G,102,89.671283,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 03:15:00,16.41,G,102,89.671283,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 03:30:00,16.288,G,102,89.007789,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 03:45:00,16.288,G,102,89.007789,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 04:00:00,16.41,G,102,89.671283,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 04:15:00,16.047,G,102,87.686604,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 04:30:00,15.926,G,102,87.02892,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 04:45:00,15.926,G,102,87.02892,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 05:00:00,15.746,G,102,86.046038,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 05:15:00,15.687,G,102,85.719384,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 05:30:00,15.567,G,102,85.067539,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 05:45:00,15.567,G,102,85.067539,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 06:00:00,15.33,G,102,83.769709,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 06:15:00,15.212,G,102,83.123732,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 06:30:00,15.212,G,102,83.123732,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 06:45:00,14.976,G,102,81.837667,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 07:00:00,15.153,G,102,82.801479,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 07:15:00,15.035,G,102,82.158446,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 07:30:00,14.976,G,102,81.837667,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 07:45:00,15.035,G,102,82.158446,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 08:00:00,14.684,G,102,80.241165,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 08:15:00,14.626,G,102,79.923346,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
